GAME,WINNER,TIME,random,random
486,0,0.1469440460205078,39,38
487,0,0.14414405822753906,38,22
488,1,0.13765501976013184,19,37
489,0,0.13470900058746338,35,35
490,0,0.15545105934143066,36,20
491,0,0.16726505756378174,37,26
492,1,0.1586930751800537,24,36
493,0,0.17257201671600342,38,22
494,0,0.18314802646636963,38,27
495,1,0.1440659761428833,18,36
496,1,0.17990005016326904,24,38
497,1,0.13918602466583252,25,39
498,0,0.1458200216293335,35,19
499,1,0.18001699447631836,23,37
500,1,0.16363894939422607,22,38
501,0,0.15664100646972656,36,20
502,0,0.18289399147033691,40,23
503,0,0.13655197620391846,36,20
504,1,0.16741204261779785,25,40
505,0,0.13802504539489746,35,21
506,0,0.1636350154876709,37,23
507,0,0.14593398571014404,37,23
508,1,0.17899596691131592,23,40
509,0,0.17684590816497803,36,34
510,1,0.16656911373138428,23,37
511,0,0.18194591999053955,37,26
512,0,0.160614013671875,38,18
513,0,0.1709519624710083,36,22
514,0,0.17631101608276367,38,25
515,1,0.18790197372436523,22,38
516,1,0.2172490358352661,26,38
517,0,0.21464300155639648,38,26
518,0,0.14958500862121582,37,23
519,0,0.1618889570236206,36,24
520,0,0.1633009910583496,35,35
521,1,0.15398108959197998,22,38
522,1,0.15580499172210693,19,37
523,1,0.15831398963928223,19,37
524,1,0.13178598880767822,20,36
525,1,0.1596459150314331,26,38
526,0,0.1421879529953003,36,22
527,0,0.1566530466079712,37,19
528,0,0.14611196517944336,35,23
529,0,0.1606919765472412,35,21
530,0,0.1621919870376587,36,24
531,0,0.14781200885772705,35,21
532,1,0.19815003871917725,23,40
533,0,0.13106203079223633,38,13
534,0,0.14718401432037354,38,25
535,1,0.1625150442123413,22,34
536,0,0.15821599960327148,36,24
537,0,0.17508208751678467,38,26
538,0,0.17035794258117676,38,18
539,0,0.14500796794891357,35,35
540,1,0.15604400634765625,25,38
541,0,0.18600797653198242,40,37
542,1,0.14736104011535645,38,39
543,0,0.11517500877380371,35,19
544,1,0.12724900245666504,23,37
545,1,0.1341780424118042,21,35
546,0,0.21816301345825195,37,19
547,0,0.18723702430725098,37,27
548,0,0.16967105865478516,38,26
549,0,0.12426495552062988,36,18
550,0,0.15829992294311523,37,23
551,0,0.16338801383972168,36,24
552,0,0.14711999893188477,38,23
553,0,0.142348051071167,36,20
554,1,0.1637970209121704,24,36
555,0,0.14788103103637695,38,21
556,0,0.18250203132629395,38,26
557,0,0.13381004333496094,35,21
558,0,0.18206501007080078,37,27
559,1,0.15028810501098633,26,38
560,0,0.15158092975616455,39,23
561,1,0.15595495700836182,15,37
562,0,0.15774595737457275,34,22
563,1,0.12627196311950684,20,36
564,0,0.14289510250091553,35,23
565,0,0.16434991359710693,38,25
566,1,0.16071093082427979,21,35
567,0,0.15118300914764404,35,21
568,0,0.16103005409240723,36,34
569,1,0.19563794136047363,26,38
570,0,0.16289401054382324,35,21
571,0,0.16896593570709229,38,26
572,0,0.1441420316696167,37,20
573,1,0.1732250452041626,24,36
574,0,0.1207129955291748,35,21
575,0,0.13047099113464355,35,35
576,0,0.15436601638793945,35,21
577,1,0.14939796924591064,24,36
578,1,0.15081405639648438,24,36
579,1,0.1501249074935913,24,36
580,1,0.15202593803405762,22,38
