GAME,WINNER,TIME,random,random,random
389,1,0.220039963722229,21,38,24
390,2,0.2233210802078247,30,29,42
391,2,0.25666797161102295,23,24,39
392,1,0.26236701011657715,24,40,16
393,1,0.21851205825805664,27,39,27
394,0,0.20193803310394287,41,24,21
395,0,0.1862809658050537,40,21,21
396,1,0.27279698848724365,23,40,24
397,0,0.23352491855621338,40,24,25
398,0,0.20713305473327637,39,26,24
399,2,0.27397799491882324,23,25,39
400,0,0.23896098136901855,40,25,25
401,0,0.2063770294189453,38,22,19
402,0,0.2566128969192505,40,29,28
403,2,0.2299180030822754,25,22,42
404,2,0.2715640068054199,25,24,38
405,1,0.23006999492645264,25,41,28
406,2,0.25044310092926025,27,27,42
407,0,0.19581997394561768,36,17,19
408,2,0.2844200134277344,24,25,41
409,2,0.2518429756164551,28,23,39
410,1,0.32092905044555664,27,39,24
411,2,0.24320602416992188,26,24,36
412,0,0.24487996101379395,38,26,23
413,2,0.2846900224685669,25,39,40
414,0,0.23406004905700684,38,24,20
415,2,0.2730640172958374,28,25,41
416,1,0.2344810962677002,22,39,23
417,2,0.30273890495300293,27,39,41
418,1,0.27031993865966797,23,43,23
419,1,0.2748839855194092,27,36,27
420,2,0.28597307205200195,22,27,40
421,0,0.26660096645355225,39,29,30
422,0,0.27858996391296387,41,27,22
423,2,0.2785719633102417,27,30,43
424,1,0.25440895557403564,25,41,23
425,1,0.20167601108551025,20,39,16
426,0,0.2656869888305664,44,43,20
427,1,0.23716402053833008,24,41,18
428,1,0.2395319938659668,19,38,26
429,1,0.22734308242797852,23,40,19
430,2,0.25811493396759033,27,26,41
431,0,0.240028977394104,37,28,28
432,2,0.2932159900665283,22,24,41
433,0,0.2286829948425293,38,25,23
434,1,0.21017992496490479,24,39,26
435,1,0.2731640338897705,32,43,28
436,1,0.23444902896881104,27,40,26
437,1,0.214136004447937,23,37,20
438,0,0.22757208347320557,37,28,25
439,2,0.20933401584625244,24,19,36
440,0,0.2256789207458496,41,21,27
441,0,0.22230005264282227,41,24,18
442,0,0.2578669786453247,41,28,41
443,1,0.24336600303649902,21,42,26
444,2,0.19213294982910156,25,26,37
445,2,0.3046529293060303,25,26,36
446,0,0.2745450735092163,41,24,22
447,1,0.21631097793579102,21,39,22
448,0,0.28377699851989746,36,26,25
449,1,0.25937795639038086,33,44,25
450,0,0.27106404304504395,39,24,26
451,1,0.28134703636169434,17,38,24
452,0,0.27999401092529297,39,23,27
453,1,0.2654609680175781,27,38,21
454,1,0.27743494510650635,20,39,23
455,2,0.31025099754333496,30,26,42
456,1,0.25273704528808594,27,42,22
457,1,0.31716811656951904,29,44,31
458,2,0.26253294944763184,22,25,39
459,2,0.2501039505004883,20,17,41
460,0,0.2781510353088379,39,26,22
461,0,0.26368796825408936,40,27,25
462,0,0.23167693614959717,40,20,28
463,2,0.303131103515625,27,27,39
464,0,0.2931840419769287,41,21,28
465,2,0.2252880334854126,24,24,37
466,2,0.30167901515960693,25,25,43
467,0,0.23029696941375732,42,19,23
468,2,0.27348899841308594,27,29,36
469,0,0.23393607139587402,36,22,20
470,0,0.28034794330596924,39,29,21
471,0,0.2714719772338867,36,23,27
472,0,0.3027149438858032,38,23,29
473,0,0.23656702041625977,39,24,21
474,0,0.277459979057312,39,25,30
475,0,0.24484598636627197,38,25,29
476,0,0.29041099548339844,43,21,25
477,0,0.2779930830001831,40,25,28
478,1,0.22401106357574463,26,37,23
479,0,0.2677880525588989,39,36,28
480,1,0.2568470239639282,22,42,18
481,2,0.24303793907165527,26,21,39
482,1,0.2829909324645996,23,38,23
483,0,0.2388080358505249,42,21,18
484,0,0.2701129913330078,36,24,26
485,0,0.2805749177932739,43,27,23
486,0,0.2427610158920288,37,19,26
487,2,0.2791450023651123,23,20,36
488,1,0.2476949691772461,24,40,27
489,2,0.23354804515838623,22,24,39
490,2,0.24609196186065674,22,19,38
491,0,0.21343004703521729,39,20,23
492,2,0.2072509527206421,25,29,39
493,1,0.2314460277557373,22,42,25
494,1,0.1750349998474121,20,39,18
495,0,0.2790130376815796,38,20,28
496,0,0.29051005840301514,41,21,21
497,1,0.23307299613952637,25,40,27
498,1,0.32256102561950684,23,39,24
499,1,0.2663240432739258,28,37,22
500,1,0.26302194595336914,23,42,21
501,2,0.2614790201187134,24,25,40
502,0,0.27995598316192627,37,24,29
503,2,0.31543290615081787,27,28,41
504,0,0.21592402458190918,37,26,23
505,1,0.2456749677658081,26,41,24
506,1,0.26202392578125,28,45,19
507,2,0.24247610569000244,22,37,40
508,0,0.2610820531845093,40,26,26
509,0,0.23528707027435303,39,21,21
510,0,0.22381198406219482,41,19,22
511,1,0.22044503688812256,27,40,21
512,1,0.22658205032348633,26,40,25
513,1,0.2321159839630127,23,40,15
514,1,0.25859594345092773,23,43,30
515,1,0.25635993480682373,26,39,25
516,1,0.27098703384399414,30,41,27
517,2,0.2424170970916748,23,25,39
518,2,0.2273780107498169,21,24,44
519,1,0.2968090772628784,23,44,28
520,0,0.21630096435546875,40,23,22
521,1,0.2536829710006714,21,39,26
522,0,0.21091699600219727,39,24,19
523,0,0.3207569122314453,40,26,24
524,1,0.24439191818237305,27,40,20
525,1,0.22017300128936768,18,39,18
526,2,0.2545950412750244,24,24,38
527,1,0.29393696784973145,27,40,36
528,0,0.26794493198394775,40,25,28
529,2,0.2750580310821533,25,26,36
