GAME,WINNER,TIME,big,big,big,big
468,2,0.08688497543334961,21,14,60,21
469,3,0.30888497829437256,35,36,21,59
470,1,0.19953203201293945,52,59,43,28
471,3,0.2223830223083496,43,28,21,59
472,0,0.5513529777526855,57,39,39,49
473,3,0.12776196002960205,36,35,35,59
474,1,0.188149094581604,35,59,36,35
475,1,0.14383196830749512,28,59,36,28
476,3,0.13837802410125732,43,35,35,59
477,2,0.1858140230178833,28,28,59,36
478,0,0.2355409860610962,59,43,35,28
479,1,0.21906602382659912,42,53,28,28
480,2,0.1579420566558838,36,35,52,42
481,2,0.1668529510498047,43,21,59,52
482,1,0.2858860492706299,43,52,28,42
483,1,0.3702889680862427,35,59,35,36
484,0,0.4286559820175171,59,36,35,28
485,2,0.1570829153060913,35,28,59,36
486,2,0.4427839517593384,35,28,59,36
487,0,0.3009599447250366,59,43,35,28
488,2,0.1926870346069336,35,52,59,36
489,2,0.18968594074249268,35,52,59,36
490,0,0.23431897163391113,59,36,28,28
491,1,0.1912440061569214,21,59,28,43
492,0,0.3939460515975952,52,35,42,36
493,3,0.29582393169403076,35,39,49,57
494,0,0.23958897590637207,59,43,35,28
495,1,0.22460496425628662,28,59,36,28
496,2,0.4716219902038574,39,39,57,49
497,0,0.18176794052124023,59,36,21,35
498,1,0.15069806575775146,35,59,36,35
499,1,0.14800000190734863,42,53,28,28
500,1,0.19595301151275635,43,52,28,42
501,0,0.22114098072052002,59,40,39,52
502,0,0.15926003456115723,59,36,28,28
503,1,0.14719808101654053,21,59,29,21
504,3,0.2989649772644043,35,42,43,52
505,3,0.16009104251861572,43,35,28,59
506,1,0.17425596714019775,28,59,43,35
507,2,0.15722596645355225,21,42,53,35
508,3,0.2431340217590332,36,28,52,59
509,3,0.3844170570373535,36,35,35,59
510,2,0.3630959987640381,52,35,59,36
511,1,0.3469480276107788,43,52,28,42
512,3,0.1637669801712036,43,35,21,59
513,2,0.1421339511871338,35,35,59,36
514,1,0.14394891262054443,28,53,42,28
515,0,0.13956892490386963,59,36,35,21
516,3,0.1873229742050171,28,42,28,53
517,2,0.4413609504699707,42,36,52,35
518,2,0.30537092685699463,42,43,52,28
519,3,0.16345608234405518,28,14,29,59
520,1,0.44285106658935547,52,59,29,28
521,1,0.43220698833465576,43,52,35,42
522,2,0.21519196033477783,52,35,59,36
523,1,0.4629020690917969,46,57,39,42
524,0,0.27424097061157227,53,35,35,42
525,2,0.15820598602294922,28,35,59,43
526,0,0.22734200954437256,59,43,35,35
527,2,0.4212510585784912,28,42,53,35
528,2,0.1714550256729126,35,42,53,35
529,1,0.15570998191833496,42,53,28,28
530,2,0.3599109649658203,35,35,53,42
531,0,0.20790696144104004,52,52,42,40
532,1,0.759585976600647,46,57,39,42
533,0,0.18519794940948486,53,35,35,42
534,3,0.15375590324401855,35,28,42,53
535,2,0.1627519130706787,28,42,53,28
536,0,0.2954789400100708,53,42,21,21
537,2,0.16412794589996338,35,35,59,36
538,3,0.18210601806640625,35,28,35,53
539,0,0.13924193382263184,59,36,21,28
540,3,0.25666701793670654,36,35,35,59
541,1,0.18448710441589355,35,59,36,21
542,0,0.331699013710022,59,28,43,35
543,2,0.1530998945236206,28,42,53,28
544,2,0.2197350263595581,43,28,59,35
545,0,0.3338569402694702,53,28,28,42
546,0,0.14289593696594238,59,43,28,35
547,2,0.212088942527771,28,28,59,43
548,1,0.18414199352264404,52,59,36,35
549,1,0.25024306774139404,28,59,29,35
550,2,0.3947939872741699,35,28,59,43
551,3,0.16070199012756348,36,35,28,59
552,0,0.1601569652557373,59,43,28,35
553,1,0.2688570022583008,35,59,36,28
554,2,0.16620302200317383,28,28,59,36
