# MCTS: [] []
# PLAYERS: [MCTS_TicketToRide.PlayerType.big, MCTS_TicketToRide.PlayerType.big, MCTS_TicketToRide.PlayerType.big]
GAME,WINNER,TIME,big,big,big
634,1,0.10763895511627197,35,59,36
635,2,0.17524003982543945,43,28,59
636,0,0.20127904415130615,59,43,52
637,1,0.16799700260162354,52,59,36
638,1,0.15225696563720703,42,53,35
639,0,0.12591302394866943,59,43,28
640,0,0.09907495975494385,59,43,28
641,2,0.09920907020568848,43,28,59
642,1,0.09095394611358643,28,59,43
643,2,0.09658205509185791,36,35,59
644,0,0.12098002433776855,53,35,42
645,2,0.09183001518249512,43,28,59
646,0,0.09610497951507568,53,28,42
647,0,0.14038097858428955,52,42,36
648,2,0.12286293506622314,43,28,59
649,0,0.20413994789123535,53,35,42
650,2,0.10983097553253174,36,35,59
651,0,0.09224700927734375,59,36,35
652,0,0.12891709804534912,59,43,28
653,1,0.1158679723739624,42,53,35
654,2,0.19603204727172852,43,35,59
655,0,0.18111693859100342,59,36,35
656,2,0.09324502944946289,35,42,53
657,0,0.13799893856048584,59,36,35
658,0,0.0903470516204834,53,28,42
659,0,0.10001695156097412,59,43,28
660,1,0.2071629762649536,42,53,28
661,0,0.1144629716873169,59,43,28
662,2,0.17061400413513184,36,28,59
663,1,0.0773630142211914,28,59,36
664,2,0.09703898429870605,43,28,59
665,0,0.09224700927734375,53,28,42
666,2,0.09391200542449951,36,35,59
667,0,0.12797105312347412,53,28,42
668,0,0.09955596923828125,59,43,35
669,0,0.09504008293151855,59,36,28
670,2,0.10780298709869385,43,28,59
671,1,0.10289406776428223,42,53,35
672,0,0.13645195960998535,59,36,35
673,2,0.11308097839355469,43,28,59
674,0,0.12423193454742432,59,36,28
675,1,0.140936017036438,35,53,42
676,1,0.11581099033355713,35,59,36
677,1,0.11752903461456299,28,59,36
678,0,0.17208504676818848,59,36,35
679,0,0.13035500049591064,53,35,42
680,1,0.18349206447601318,52,59,43
681,2,0.1368100643157959,43,28,59
682,2,0.09841001033782959,43,28,59
683,1,0.09360098838806152,42,53,28
684,2,0.1387850046157837,43,35,59
685,1,0.0929419994354248,28,59,43
686,2,0.09489691257476807,36,35,59
687,1,0.10483705997467041,28,59,43
688,0,0.0810549259185791,59,36,28
689,2,0.09280204772949219,36,35,59
690,1,0.10964798927307129,36,59,35
691,1,0.13052892684936523,35,59,43
692,1,0.1045219898223877,35,59,36
693,0,0.17236995697021484,59,36,35
694,0,0.0921710729598999,59,36,28
695,2,0.18479490280151367,42,36,52
696,0,0.12622511386871338,53,35,42
697,1,0.12015998363494873,35,53,42
698,0,0.09464097023010254,53,35,42
699,0,0.09799802303314209,59,43,35
700,0,0.11159896850585938,59,36,28
701,1,0.08877503871917725,28,59,36
702,0,0.11014199256896973,59,36,28
703,0,0.11327791213989258,59,43,28
704,0,0.11407601833343506,59,43,28
705,1,0.13045001029968262,28,59,43
706,1,0.10790109634399414,42,53,35
707,2,0.11401998996734619,43,35,59
708,0,0.10765504837036133,59,43,28
709,0,0.09765303134918213,59,36,35
710,0,0.0957040786743164,59,43,28
