# MCTS: [] []
# PLAYERS: [MCTS_TicketToRide.PlayerType.random, MCTS_TicketToRide.PlayerType.random, MCTS_TicketToRide.PlayerType.random, MCTS_TicketToRide.PlayerType.random]
GAME,WINNER,TIME,random,random,random,random
544,3,0.44724297523498535,26,25,29,40
545,0,0.36715996265411377,42,24,20,23
546,0,0.31163489818573,41,22,25,21
547,3,0.36006104946136475,19,29,43,45
548,2,0.35954809188842773,19,29,41,27
549,1,0.33020496368408203,21,40,25,25
550,2,0.3176720142364502,22,21,39,19
551,1,0.44798409938812256,31,43,29,24
552,1,0.32962095737457275,28,41,20,23
553,0,0.3961920738220215,44,26,27,26
554,1,0.3287709951400757,27,40,23,25
555,1,0.38020801544189453,26,41,21,29
556,2,0.2691199779510498,19,25,39,18
557,2,0.42770206928253174,39,28,40,26
558,0,0.4436349868774414,39,23,23,28
559,0,0.5389800071716309,45,25,23,27
560,3,0.506479024887085,24,25,31,40
561,1,0.36827099323272705,20,39,25,28
562,2,0.49328696727752686,23,25,43,28
563,1,0.3754490613937378,26,38,27,29
564,0,0.36187899112701416,39,26,25,15
565,3,0.36972200870513916,18,20,26,44
566,2,0.39489710330963135,30,34,46,23
567,0,0.47502100467681885,42,25,24,26
568,1,0.3399099111557007,20,40,18,23
569,1,0.438262939453125,28,40,30,26
570,3,0.4163099527359009,29,23,25,42
571,0,0.32779693603515625,42,22,16,21
572,1,0.35362493991851807,20,40,26,23
573,1,0.2968759536743164,26,41,20,18
574,2,0.4082270860671997,28,23,45,24
575,3,0.40759599208831787,29,24,43,44
576,1,0.2909959554672241,17,38,17,23
577,0,0.43949902057647705,39,19,25,22
578,0,0.4243040084838867,39,23,25,25
579,2,0.41075599193573,23,24,40,23
580,0,0.41677701473236084,43,32,32,26
581,1,0.4031630754470825,23,38,26,23
582,3,0.3450460433959961,19,21,30,42
583,0,0.37846601009368896,39,22,16,17
584,1,0.31076908111572266,23,39,31,22
585,0,0.337041974067688,44,26,17,39
586,1,0.4701240062713623,44,46,29,24
587,3,0.43401896953582764,25,27,21,40
588,3,0.4178580045700073,26,22,28,40
589,2,0.3706890344619751,21,28,42,21
590,0,0.38113200664520264,38,27,20,13
591,2,0.4034160375595093,25,27,42,25
592,3,0.3377840518951416,18,23,23,41
593,0,0.41857802867889404,46,22,29,43
594,3,0.3057270050048828,24,25,28,39
595,2,0.2992560863494873,20,17,37,25
596,3,0.3567230701446533,27,26,28,42
597,0,0.4763040542602539,44,21,26,43
598,2,0.3219360113143921,27,22,41,22
599,3,0.3977550268173218,20,25,22,42
600,1,0.29423296451568604,25,43,20,17
601,0,0.3218510150909424,42,22,23,28
602,3,0.3940809965133667,25,22,24,42
603,0,0.27493298053741455,40,21,22,22
604,2,0.4194899797439575,24,29,43,31
